text,label,reason
"the food is really good, I had a great experience. they have a big variety.",none,"Legitimate, on-topic review of the food and experience."
High prices for not so big portions! But I think it is the only decent food available on the National Mall area without walking a few miles away from there.,none,On-topic review discussing food quality and location.
"The gelato looked ""old"" and ended up having coffee.",none,Describes a specific experience with gelato.
"(Translated by Google) The fast food restaurants under the National Palace of Art are not cheap, and there are many choices. They are all Western food. The dining environment is very good and the art atmosphere is strong. (Original) 国家艺术宫下的快餐厅，不便宜，选择多，都是西餐，就餐环境非常好，艺术气息浓厚。",none,On-topic review of dining options and environment.
"(Translated by Google) The food is barely edible and the price is high. The rice was uncooked and the pasta was blown, making it difficult to eat. The seafood pasta contained 4 mussels, but only two of them were shells. It is a strong light. Never go. (Original) 음식은 거의 먹을 수 없는 수준이며 가격은 비쌉니다. 밥은 생쌀에다가 파스타는 불어서 먹기 힘이 들었습니다. 해물 파스타에 홍합이 4개 들었는데 그나마 두개는 껍질뿐이었습니다. 강력 비추입니다. 절대 가지 마세요.",none,Detailed complaint about food quality and service.
"Rip off!!! I have dreads and I just needed a quick shade / outline. I was charged $30 for it!!! If it were a full haircut ok but a shade just on the outline that took no more than 10min... ($180 an hour lol) I walked 5 min down the street and asked another barber shop how much they charge for the same job, they said $15!",no_visit_rant,Admits to not visiting; complaint based on pricing.
Great new space combined with great barbers.,none,Positive review about barbers.
Got tightened up by my main man Carl,none,Casual mention of a positive experience.
My local barbershop for 8 years now.,none,"Long-term patronage mentioned, relevant to the barbershop."
Nice,irrelevant,Single word review does not provide relevant information.
"Quick service, and a variety of snacks! There is a master mechanic on duty who can fix almost anything on a car! Can't remember his name but it starts with a 'B""",none,Positive review about service and snacks.
Fast Service.,none,Simple statement about service.
Watch for cars!!! Good prices :),none,Positive review about pricing.
Excellent service!,none,Describes services offered at the location.
The attendant lady at the window is such a beautiful soul 😘,none,Single word review does not provide relevant information.
Decent gas prices.,none,Positive review about staff.
You can buy used tires and get your tire fix and you can buy rims for your car or truck,none,Positive review about a church.
Small.,no_visit_rant,Admits to not visiting; cannot recommend based on lack of experience.
Informative and friendly staffs.,none,Negative comment about judgmental behavior.
"Useless. Lady told me first I needed a box for the box I was shipping. Then once we cleared that hurdle, it has to fit through her window. Which it would have. But she was not willing to try. Didn't apologize, dumped me off on another branch. Save your time and go to a real post office.",none,Positive review about the church.
"Ms. Gail Sparrow is awesome. She hooked it up with the secrets of how to get the cheapest rate. The hours aren't great, but that's a one woman show. You gotta respect that fact...all alone with people getting upset at her for something that isn't her fault. Be nice to her.",irrelevant,Single word review does not provide relevant information.
the men are cool but the ladies? C'mon now roll the eyes. This place manifested like UPO nearly across the street ajacently. The air is literally like .5% on fridays.,none,On-topic review about basketball court conditions.
"Hit or Miss - mostly miss. Almost every visit over the last two years results in poor customer service. The last time I used this post office (Spring 2016), my package sat in the back for a month (according to tracking). The post office employees refused to search for it and check the tracking. Mysteriously, my package started moving once I made calls to the vendor and USPS customer service line.",none,Positive review about playground.
Mr. Tony has great customer service and was very helpful! Thank you Sir!,none,On-topic review about park condition.
Very good post office,none,Positive review about shopping and dining.
Black people at this post office are rude,none,Simple positive review about the park.
Why aren’t the accurate hours listed here?,none,Detailed positive review about dining experience.
Employees are kind and super fast!,none,Positive review about food quality.
Excellent teaching & family oriented church ! Singing is heavenly,none,Positive review about food and service.
I cannot honestly say I've been in here but if it's a house of the Lord then I recommend it if you go in there and you don't feel comfortable then you leave I can tell you what to do about this I'm a spiritual person but all churches are not good churches so I can't recommend it because I never been in it,none,Positive review about food and service.
Will run you away quickly judgmental,none,Positive review about food and service.
This is the best church to be!!!,none,Positive review about food and service.
Okay fine,none,Positive review about shopping experience.
"Just came here to play a quick basketball game. Court is slightly slanted and baskets are double rimmed, but other than that it's okay.",none,On-topic review about package drop-off.
"A nice playground with baby swings and things for older children, too.",none,Positive review about Rite Aid Walgreens.
Could use a little TLC but is does the job.,no_visit_rant,Complaint about service without evidence of a visit.
Nice park...Great Urban location. ..,none,Simple positive review about the store.
Fun place to shop and dine..,none,nan
Nice park.,none,nan
